User,Tag,Action,Target,Time,ObjectId
23.227.160.2,issue,connect,"__ __, ______ __",1.41075E+12,
23.227.160.2,service,update,______ __,1.41075E+12,
23.227.160.2,issue,update,__ __,1.41075E+12,
23.227.160.2,explore,unrelated,"__ __, ________",1.41075E+12,
23.227.160.2,issue,connect,"__ __, ________",1.41075E+12,
23.227.160.2,service,update,________,1.41075E+12,
23.227.160.2,explore,unrelated,"__ __, ______ ____ ____",1.41075E+12,
23.227.160.2,issue,update,__ __,1.41075E+12,
23.227.160.2,issue,connect,"__ __, ______ ____ ____",1.41075E+12,
23.227.160.2,service,update,______ ____ ____,1.41075E+12,
23.227.160.2,explore,related,"__ __, ________ __",1.41075E+12,
23.227.160.2,issue,update,__ __,1.41075E+12,
23.227.160.2,issue,connect,"__ __, ________ __",1.41075E+12,
23.227.160.2,service,update,________ __,1.41075E+12,
23.227.160.2,explore,unrelated,"__ __, ____ ____",1.41075E+12,
23.227.160.2,issue,update,__ __,1.41075E+12,
23.227.160.2,issue,connect,"__ __, ____ ____",1.41075E+12,
23.227.160.2,service,update,____ ____,1.41075E+12,
23.227.160.2,explore,unrelated,"__ __, _____ ___",1.41075E+12,
23.227.160.2,issue,update,__ __,1.41075E+12,
23.227.160.2,issue,connect,"__ __, _____ ___",1.41075E+12,
23.227.160.2,service,update,_____ ___,1.41075E+12,
23.227.160.2,explore,unrelated,"__ __, ____ __ ____ _ __",1.41075E+12,
23.227.160.2,issue,update,__ __,1.41075E+12,
23.227.160.2,issue,connect,"__ __, ____ __ ____ _ __",1.41075E+12,
147.46.240.236,budget,select,___Ê,1.41075E+12,
23.227.160.2,service,update,____ __ ____ _ __,1.41075E+12,
147.46.240.236,budget,select,______Ê,1.41075E+12,
147.46.240.236,service,select,_____(____),1.41075E+12,
147.46.240.236,service,select,_______ _____,1.41075E+12,
147.46.240.236,budget,select,______Ê,1.41075E+12,
147.46.240.236,budget,select,_________Ê,1.41075E+12,
147.46.240.236,budget,select,____Ê,1.41075E+12,
147.46.240.236,budget,select,___Ê,1.41075E+12,
147.46.240.236,budget,select,_______Ê,1.41075E+12,
147.46.240.236,budget,select,__Ê,1.41075E+12,
147.46.240.236,budget,select,____Ê,1.41075E+12,
147.46.240.236,budget,select,___Ê,1.41075E+12,
147.46.240.236,budget,select,____Ê,1.41075E+12,
147.46.240.236,budget,select,______Ê,1.41075E+12,
147.46.240.236,budget,select,______Ê,1.41075E+12,
147.46.240.236,budget,select,____Ê,1.41075E+12,
147.46.240.236,service,select,____(__.__) _____ __,1.41075E+12,
23.227.160.2,issue,deselect,__ __,1.41075E+12,
147.46.240.236,budget,select,______Ê,1.41075E+12,
147.46.240.236,service,select,_____,1.41075E+12,
23.227.160.2,issue,update,__ __,1.41075E+12,
23.227.160.2,explore,pass,"__ __, _2___ ___(____)___(_______ __)",1.41075E+12,
147.46.240.236,service,moreinfo,_____,1.41075E+12,
23.227.160.2,issue,connect,"__ __, _2___ ___(____)___(_______ __)",1.41075E+12,
23.227.160.2,service,update,_2___ ___(____)___(_______ __),1.41075E+12,
23.227.160.2,issue,update,__ __,1.41075E+12,
23.227.160.2,explore,unrelated,"__ __, ____ ____ __",1.41075E+12,
23.227.160.2,issue,connect,"__ __, ____ ____ __",1.41075E+12,
23.227.160.2,service,update,____ ____ __,1.41075E+12,
23.227.160.2,explore,related,"__ __, ___ ____",1.41075E+12,
23.227.160.2,issue,update,__ __,1.41075E+12,
23.227.160.2,issue,connect,"__ __, ___ ____",1.41075E+12,
23.227.160.2,service,update,___ ____,1.41075E+12,
23.227.160.2,explore,unrelated,"__ __, ___ __",1.41075E+12,
23.227.160.2,issue,update,__ __,1.41075E+12,
23.227.160.2,issue,connect,"__ __, ___ __",1.41075E+12,
23.227.160.2,service,update,___ __,1.41075E+12,
23.227.160.2,explore,unrelated,"__ __, _____ ______ ____",1.41075E+12,
23.227.160.2,issue,update,__ __,1.41075E+12,
23.227.160.2,issue,connect,"__ __, _____ ______ ____",1.41075E+12,
23.227.160.2,service,update,_____ ______ ____,1.41075E+12,
23.227.160.2,issue,update,__ __,1.41075E+12,
23.227.160.2,explore,unrelated,"__ __, ___ ___ __",1.41075E+12,
23.227.160.2,issue,connect,"__ __, ___ ___ __",1.41075E+12,
23.227.160.2,service,update,___ ___ __,1.41075E+12,
147.46.240.236,budget,select,____Ê,1.41075E+12,
23.227.160.2,explore,pass,"__ __, ____ __",1.41075E+12,
23.227.160.2,issue,update,__ __,1.41075E+12,
23.227.160.2,issue,connect,"__ __, ____ __",1.41075E+12,
23.227.160.2,service,update,____ __,1.41075E+12,
23.227.160.2,explore,related,"__ __, ___ __ ____ _ ____ __(____ _ ____, ___, ____)",1.41075E+12,
23.227.160.2,issue,update,__ __,1.41075E+12,
23.227.160.2,issue,connect,"__ __, ___ __ ____ _ ____ __(____ _ ____, ___, ____)",1.41075E+12,
23.227.160.2,service,update,"___ __ ____ _ ____ __(____ _ ____, ___, ____)",1.41075E+12,
23.227.160.2,explore,unrelated,"__ __, _____ ____ ____",1.41075E+12,
23.227.160.2,issue,update,__ __,1.41075E+12,
23.227.160.2,issue,connect,"__ __, _____ ____ ____",1.41075E+12,
23.227.160.2,service,update,_____ ____ ____,1.41075E+12,
147.46.240.236,budget,select,____Ê,1.41075E+12,
23.227.160.2,explore,unrelated,"__ __, ___ ____ __",1.41075E+12,
23.227.160.2,issue,update,__ __,1.41075E+12,
23.227.160.2,issue,connect,"__ __, ___ ____ __",1.41075E+12,
147.46.240.236,budget,select,___Ê,1.41075E+12,
147.46.240.236,service,select,______ ___ _ ______ ____,1.41075E+12,
147.46.240.236,service,moreinfo,______ ___ _ ______ ____,1.41075E+12,
23.227.160.2,service,update,___ ____ __,1.41075E+12,
23.227.160.2,issue,deselect,__ __,1.41075E+12,
147.46.240.236,budget,select,____Ê,1.41075E+12,
147.46.240.236,service,select,________ _____,1.41075E+12,
147.46.240.236,service,moreinfo,________ _____,1.41075E+12,
58.225.18.108,issue,deselect,__ __,1.41075E+12,
147.46.240.236,service,moreinfo,________ _____,1.41075E+12,
147.46.240.236,service,moreinfo,________ _____,1.41075E+12,
1.215.87.124,budget,select,______Ê,1.41075E+12,
147.46.240.236,budget,select,___Ê,1.41075E+12,
147.46.240.236,budget,select,____Ê,1.41075E+12,
147.46.240.236,service,select,_____ __,1.41075E+12,
73.189.217.129,issue,deselect,__ __,1.41075E+12,
58.225.18.108,service,select,_____,1.41075E+12,
58.225.18.108,service,moreinfo,_____,1.41075E+12,
73.189.217.129,budget,select,___Ê,1.41075E+12,
73.189.217.129,service,select,____,1.41075E+12,
73.189.217.129,service,select,______ __,1.41075E+12,
73.189.217.129,service,moreinfo,______ __,1.41075E+12,
58.225.18.108,service,select,_____,1.41075E+12,
58.225.18.108,service,select,_____ __,1.41075E+12,
58.225.18.108,service,deselect,_____ __,1.41075E+12,
58.225.18.108,service,select,_____,1.41075E+12,
58.225.18.108,service,select,___ __,1.41075E+12,
58.225.18.108,service,select,_____(____),1.41075E+12,
58.225.18.108,service,select,___ ___(__),1.41075E+12,
58.225.18.108,service,select,______ __,1.41075E+12,
58.225.18.108,service,deselect,______ __,1.41075E+12,
58.225.18.108,service,select,__.________,1.41075E+12,
58.225.18.108,service,select,________ _____,1.41075E+12,
58.225.18.108,service,select,______ __,1.41075E+12,
58.225.18.108,service,select,"_____(_____,_____)-3",1.41075E+12,
58.225.18.108,budget,select,______Ê,1.41075E+12,
58.225.18.108,budget,select,______Ê,1.41075E+12,
58.225.18.108,budget,select,______Ê,1.41075E+12,
58.225.18.108,budget,select,______Ê,1.41075E+12,
58.225.18.108,budget,select,___Ê,1.41075E+12,
58.225.18.108,budget,select,____Ê,1.41075E+12,
1.215.87.124,budget,select,____Ê,1.41075E+12,
58.225.18.108,budget,select,______Ê,1.41075E+12,
1.215.87.124,budget,select,____Ê,1.41075E+12,
58.225.18.108,budget,select,______Ê,1.41075E+12,
58.225.18.108,budget,select,___Ê,1.41075E+12,
1.215.87.124,service,select,______ __,1.41075E+12,
1.215.87.124,service,moreinfo,______ __,1.41075E+12,
58.225.18.108,budget,select,______Ê,1.41075E+12,
202.51.117.222,budget,select,______Ê,1.41075E+12,
202.51.117.222,budget,select,______Ê,1.41075E+12,
58.225.18.108,budget,select,______Ê,1.41075E+12,
58.225.18.108,budget,select,____Ê,1.41075E+12,
58.225.18.108,budget,select,______Ê,1.41075E+12,
58.225.18.108,budget,select,_________Ê,1.41075E+12,
58.225.18.108,budget,select,______Ê,1.41075E+12,
210.94.41.89,issue,deselect,__ __,1.41075E+12,
58.225.18.108,budget,select,____Ê,1.41075E+12,
23.227.160.2,issue,deselect,___ __,1.41075E+12,
202.51.117.222,budget,select,____Ê,1.41075E+12,
143.248.166.170,service,select,___ __(___ __),1.41075E+12,
143.248.166.170,service,moreinfo,___ __(___ __),1.41075E+12,
147.46.240.236,budget,select,______Ê,1.41075E+12,
147.46.240.236,service,select,_____(____),1.41075E+12,
147.46.240.236,service,moreinfo,_____(____),1.41075E+12,
147.46.240.236,budget,select,___Ê,1.41075E+12,
147.46.240.236,service,select,"_____(_____,_____)-3",1.41075E+12,
147.46.240.236,budget,select,____Ê,1.41075E+12,
147.46.240.236,service,select,_____ __,1.41075E+12,
147.46.240.236,service,moreinfo,_____ __,1.41075E+12,
147.46.240.236,budget,select,___Ê,1.41075E+12,
202.51.117.222,budget,select,____Ê,1.41075E+12,
147.46.240.236,service,select,"_____(_____,_____)-3",1.41075E+12,
147.46.240.236,service,moreinfo,"_____(_____,_____)-3",1.41075E+12,
1.215.87.124,budget,select,____Ê,1.41075E+12,
18.111.52.185,service,select,_____ __,1.41075E+12,
18.111.52.185,service,select,_____,1.41075E+12,
18.111.52.185,service,moreinfo,_____,1.41075E+12,
202.51.117.222,budget,select,______Ê,1.41075E+12,
202.51.117.222,budget,select,______Ê,1.41075E+12,
202.51.117.222,budget,select,______Ê,1.41075E+12,
202.51.117.222,budget,select,______Ê,1.41075E+12,
110.76.103.206,service,select,_____,1.41075E+12,
202.51.117.222,budget,deselect,______Ê,1.41075E+12,
110.76.103.206,service,moreinfo,_____,1.41075E+12,
202.51.117.222,service,select,_____,1.41075E+12,
110.76.103.206,service,select,_____,1.41075E+12,
202.51.117.222,service,select,_____ __,1.41075E+12,
110.76.103.206,service,moreinfo,_____,1.41075E+12,
202.51.117.222,service,select,_____,1.41075E+12,
202.51.117.222,service,moreinfo,_____,1.41075E+12,
110.76.103.206,service,select,_____,1.41075E+12,
110.76.103.206,service,moreinfo,_____,1.41075E+12,
147.46.240.236,budget,select,______Ê,1.41075E+12,
147.46.240.236,service,select,_____(____),1.41075E+12,
147.46.240.236,service,moreinfo,_____(____),1.41075E+12,
110.76.103.206,service,deselect,_____,1.41075E+12,
202.51.117.222,issue,deselect,__ __,1.41075E+12,
202.51.117.222,issue,deselect,___ __,1.41075E+12,
147.46.240.236,budget,select,___Ê,1.41075E+12,
